대분류,중분류,소분류,원본파일,원본행
문서,비즈니스,사업계획서,수집된DB/분야.csv,7
문서,비즈니스,회사소개,수집된DB/분야.csv,8
문서,비즈니스,PPT,수집된DB/분야.csv,9
문서,비즈니스,엑셀,수집된DB/분야.csv,10
문서,비즈니스,기획서,수집된DB/분야.csv,11
문서,법률,소송장,수집된DB/분야.csv,12
문서,법률,준비서면,수집된DB/분야.csv,13
문서,법률,형사,수집된DB/분야.csv,14
문서,법률,민사,수집된DB/분야.csv,15
문서,의료,,수집된DB/분야.csv,16
문서,특허,,수집된DB/분야.csv,17
문서,노무,,수집된DB/분야.csv,18
문서,교재,,수집된DB/분야.csv,19
문서,논문,,수집된DB/분야.csv,20
문서,기사,,수집된DB/분야.csv,21
문서,고전,,수집된DB/분야.csv,22
문서,그외,,수집된DB/분야.csv,23
음성,아나운서,,수집된DB/분야.csv,24
음성,관광가이드,,수집된DB/분야.csv,25
음성,큐레이터,,수집된DB/분야.csv,26
음성,안내 방송,,수집된DB/분야.csv,27
음성,교육 강의,,수집된DB/분야.csv,28
음성,실시간,,수집된DB/분야.csv,29
음성,화상수업,,수집된DB/분야.csv,30
영상/SNS,미디어/장르,유튜브,수집된DB/분야.csv,31
영상/SNS,미디어/장르,다큐멘터리,수집된DB/분야.csv,32
영상/SNS,미디어/장르,영화,수집된DB/분야.csv,33
영상/SNS,미디어/장르,드라마,수집된DB/분야.csv,34
영상/SNS,미디어/장르,예능,수집된DB/분야.csv,35
IT/개발,개발/보안,AI,수집된DB/분야.csv,36
IT/개발,개발/보안,에이전트,수집된DB/분야.csv,37
IT/개발,개발/보안,디비(DB),수집된DB/분야.csv,38
IT/개발,개발/보안,빅데이터,수집된DB/분야.csv,39
IT/개발,개발/보안,백엔드,수집된DB/분야.csv,40
IT/개발,개발/보안,프론트,수집된DB/분야.csv,41
IT/개발,개발/보안,프로그램,수집된DB/분야.csv,42
IT/개발,디자인/기획,웹모바일 디자인,수집된DB/분야.csv,43
IT/개발,디자인/기획,웹기획,수집된DB/분야.csv,44
IT/개발,디자인/기획,홈페이지 UIUX,수집된DB/분야.csv,45
IT/개발,디자인/기획,컨텐츠,수집된DB/분야.csv,46
창의적활동,콘텐츠,드라마,수집된DB/분야.csv,47
창의적활동,콘텐츠,웹툰소설,수집된DB/분야.csv,48
창의적활동,콘텐츠,소설,수집된DB/분야.csv,49
창의적활동,콘텐츠,시,수집된DB/분야.csv,50
창의적활동,콘텐츠,음악,수집된DB/분야.csv,51
창의적활동,콘텐츠,미술,수집된DB/분야.csv,52
번역,통번역 방식,순차통역,수집된DB/분야.csv,53
번역,통번역 방식,동시통역,수집된DB/분야.csv,54
번역,통번역 방식,음성번역,수집된DB/분야.csv,55
번역,통번역 방식,자가선택,수집된DB/분야.csv,56
프롬프트,,,수집된DB/분야.csv,57
확장영역,라이프/전문,암,수집된DB/분야.csv,58
확장영역,라이프/전문,요리,수집된DB/분야.csv,59
확장영역,라이프/전문,재무,수집된DB/분야.csv,60
확장영역,라이프/전문,주식,수집된DB/분야.csv,61
확장영역,라이프/전문,부동산,수집된DB/분야.csv,62
확장영역,라이프/전문,자녀,수집된DB/분야.csv,63
확장영역,라이프/전문,연애,수집된DB/분야.csv,64
확장영역,라이프/전문,입시,수집된DB/분야.csv,65
확장영역,라이프/전문,사주,수집된DB/분야.csv,66
확장영역,라이프/전문,결혼,수집된DB/분야.csv,67
확장영역,라이프/전문,영어,수집된DB/분야.csv,68
확장영역,라이프/전문,직장찾기,수집된DB/분야.csv,69
확장영역,라이프/전문,운동,수집된DB/분야.csv,70
확장영역,라이프/전문,사업,수집된DB/분야.csv,71
