시험종류,등급구분,급수,원본파일,원본행
프롬,교육,1급,수집된DB/분야.csv,7
프롬,교육,2급,수집된DB/분야.csv,8
프롬,교육,3급,수집된DB/분야.csv,9
프롬,교육,4급,수집된DB/분야.csv,10
프롬,교육,5급,수집된DB/분야.csv,11
프롬,교육,6급,수집된DB/분야.csv,12
프롬,교육,7급,수집된DB/분야.csv,13
프롬,교육,8급,수집된DB/분야.csv,14
프롬,일반,1급,수집된DB/분야.csv,15
프롬,일반,2급,수집된DB/분야.csv,16
프롬,일반,3급,수집된DB/분야.csv,17
프롬,전문,1급,수집된DB/분야.csv,18
프롬,전문,2급,수집된DB/분야.csv,19
번역,교육,1급,수집된DB/분야.csv,20
번역,교육,2급,수집된DB/분야.csv,21
번역,교육,3급,수집된DB/분야.csv,22
번역,교육,4급,수집된DB/분야.csv,23
번역,교육,5급,수집된DB/분야.csv,24
번역,교육,6급,수집된DB/분야.csv,25
번역,교육,7급,수집된DB/분야.csv,26
번역,교육,8급,수집된DB/분야.csv,27
번역,일반,1급,수집된DB/분야.csv,28
번역,일반,2급,수집된DB/분야.csv,29
번역,일반,3급,수집된DB/분야.csv,30
번역,전문,1급,수집된DB/분야.csv,31
번역,전문,2급,수집된DB/분야.csv,32
윤리,교육,1급,수집된DB/분야.csv,33
윤리,교육,2급,수집된DB/분야.csv,34
윤리,교육,3급,수집된DB/분야.csv,35
윤리,교육,4급,수집된DB/분야.csv,36
윤리,교육,5급,수집된DB/분야.csv,37
윤리,교육,6급,수집된DB/분야.csv,38
윤리,교육,7급,수집된DB/분야.csv,39
윤리,교육,8급,수집된DB/분야.csv,40
윤리,일반,1급,수집된DB/분야.csv,41
윤리,일반,2급,수집된DB/분야.csv,42
윤리,일반,3급,수집된DB/분야.csv,43
윤리,전문,1급,수집된DB/분야.csv,44
윤리,전문,2급,수집된DB/분야.csv,45
