등급구분,세부급수,원본파일,원본행
일반,1급,수집된DB/문제와 채점지.csv,4
일반,2급,수집된DB/문제와 채점지.csv,5
일반,3급,수집된DB/문제와 채점지.csv,6
전문,1급,수집된DB/문제와 채점지.csv,7
전문,2급,수집된DB/문제와 채점지.csv,8
교육,3급,수집된DB/문제와 채점지.csv,9
교육,2급,수집된DB/문제와 채점지.csv,10
교육,1급,수집된DB/문제와 채점지.csv,11
교육,5급,수집된DB/문제와 채점지.csv,12
교육,4급,수집된DB/문제와 채점지.csv,13
교육,6급,수집된DB/문제와 채점지.csv,14
교육,7급,수집된DB/문제와 채점지.csv,15
교육,8급,수집된DB/문제와 채점지.csv,16
교육7-8,,수집된DB/문제와 채점지.csv,17
교육 5-6,,수집된DB/문제와 채점지.csv,18
중등 3-4,,수집된DB/문제와 채점지.csv,19
교육 1-2,,수집된DB/문제와 채점지.csv,20
일반 1-전문 2,,수집된DB/문제와 채점지.csv,21
일반2-3급,,수집된DB/문제와 채점지.csv,22
전문 1,,수집된DB/문제와 채점지.csv,23
