구분,항목,내용,원본파일,원본행
출제 및 채점,단답형,공통 영역,수집된DB/대표DB.csv,16
출제 및 채점,문제수,객관식 50 문제중 20개 랜덤,수집된DB/대표DB.csv,16
출제 및 채점,채점방식,자동 채점,수집된DB/대표DB.csv,16
출제 및 채점,점수 배점,자동채점: 80점,수집된DB/대표DB.csv,16
출제 및 채점,자동 채점,객관식,수집된DB/대표DB.csv,16
출제 및 채점,채점 상태,채점 전,수집된DB/대표DB.csv,16
출제 및 채점,자동 채점 점수,100,수집된DB/대표DB.csv,16
출제 및 채점,휴먼 채점 점수,90,수집된DB/대표DB.csv,16
출제 및 채점,명확성,특수성,수집된DB/대표DB.csv,16
출제 및 채점,출제 상태,출제 전,수집된DB/대표DB.csv,16
출제 및 채점,레벨확인,상중하,수집된DB/대표DB.csv,16
출제 및 채점,교시,1교시,수집된DB/대표DB.csv,16
출제 및 채점,만점,500,수집된DB/대표DB.csv,16
출제 및 채점,배당점수,200,수집된DB/대표DB.csv,16
출제 및 채점,단계,3,수집된DB/대표DB.csv,16
출제 및 채점,파일 종류,TTT,수집된DB/대표DB.csv,16
출제 및 채점,출제 파일,filename.docx,수집된DB/대표DB.csv,16
출제 및 채점,총 문항수,25,수집된DB/대표DB.csv,16
출제 및 채점,난이도상,5,수집된DB/대표DB.csv,16
출제 및 채점,난이도중,10,수집된DB/대표DB.csv,16
출제 및 채점,난이도하,10,수집된DB/대표DB.csv,16
출제 및 채점,난이도,상,수집된DB/대표DB.csv,16
출제 및 채점,시험 유형,단답형,수집된DB/대표DB.csv,16
출제 및 채점,문제 형태,객관식,수집된DB/대표DB.csv,16
출제 및 채점,시험 문제,랜덤,수집된DB/대표DB.csv,16
출제 및 채점,문제 형태,"객관식(4지선다, 단답형, OX)",수집된DB/대표DB.csv,16
출제 및 채점,"주관식중 
번역 객관적평가",단어수,수집된DB/대표DB.csv,16
출제 및 채점,"주관식중 
프롬프트 주관적평가",검색 허용횟수,수집된DB/대표DB.csv,16
출제 및 채점,채점 방식,"객관식통한 1차
합격불합격결정후 일부 휴먼평가",수집된DB/대표DB.csv,16
출제 및 채점,단답형,번역 시험,수집된DB/대표DB.csv,17
출제 및 채점,문제수,"주관식 5개중
 학생 공용 2개 분야 2개 선택",수집된DB/대표DB.csv,17
출제 및 채점,채점방식,AI 자동재첨,수집된DB/대표DB.csv,17
출제 및 채점,점수 배점,"휴먼채점(유사어
자동채점후 
주관식일부) 
 20점",수집된DB/대표DB.csv,17
출제 및 채점,자동 채점,"주관식 유의어에 
의해 기본평가 '",수집된DB/대표DB.csv,17
출제 및 채점,채점 상태,채점 중,수집된DB/대표DB.csv,17
출제 및 채점,자동 채점 점수,100,수집된DB/대표DB.csv,17
출제 및 채점,휴먼 채점 점수,30+30+30=90,수집된DB/대표DB.csv,17
출제 및 채점,명확성,완전성,수집된DB/대표DB.csv,17
출제 및 채점,출제 상태,출제 중,수집된DB/대표DB.csv,17
출제 및 채점,레벨확인,상중하,수집된DB/대표DB.csv,17
출제 및 채점,교시,2교시,수집된DB/대표DB.csv,17
출제 및 채점,배당점수,200,수집된DB/대표DB.csv,17
출제 및 채점,단계,2,수집된DB/대표DB.csv,17
출제 및 채점,파일 종류,STS,수집된DB/대표DB.csv,17
출제 및 채점,난이도,중,수집된DB/대표DB.csv,17
