교재명,대분류,과정,급수,핵심역량목표,중분류,단원번호,단원명,학습목표,이론실습,원본파일,원본행
프롬프트 활용 교재(초등),문서,프롬프트 활용,교육 1~2,AI 도구 기본 사용 / 안전한 요청 습관,일반,1장,프롬프트란 무엇인가,프롬프트의 정의/역할/기본 개념을 이해한다,이론+가벼운 실습,휴텍씨DB/교재.csv,4
프롬프트 활용 교재(초등),,,교육 3~4,결과 품질 개선(수정·추가 질문),,2장,프롬프트의 기본 구조와 지시어,프롬프트 구성요소(목표/대상/조건/형식/톤)와 지시어를 익힌다,이론+실습,휴텍씨DB/교재.csv,5
프롬프트 활용 교재(초등),,,교육 5~6,템플릿화(문서/요약/기획) / 재현성,,3장,"분야별 프롬프트 예시 (글쓰기, 기획, 디자인, 데이터 등)",분야별(문서/기획/디자인/데이터) 요구사항 차이를 이해한다,이론+실습,휴텍씨DB/교재.csv,6
프롬프트 활용 교재(초등),,,교육 7~8,응용(업무/콘텐츠) + 기본 책임성,,4장,"모델별 차이점 (ChatGPT, Claude, Bard, Gemini 등)",모델 특성과 강점/약점을 비교하고 목적에 맞게 선택한다,이론+실습,휴텍씨DB/교재.csv,7
프롬프트 활용 교재(초등),,,일반 3급,실사용 문서 생성(메일/보고/정리),,5장,실전 문제 해결 프롬프트 작성 실습,실제 업무/시험 상황에서 문제를 프롬프트로 해결한다,실습 중심,휴텍씨DB/교재.csv,8
프롬프트 활용 교재(초등),,,일반 1급,복합 과업(기획+검수+산출물),전문,7장,자기 프롬프트 진단 및 평가,프롬프트 품질을 기준으로 평가하고 개선한다,이론+실습,휴텍씨DB/교재.csv,9
프롬프트 활용 교재(초등),,,일반 2급,다단계 지시/조건 관리/검증 습관,일반,6장,AI 오류 분석과 수정 전략,환각/누락/편향/출처 문제를 점검하고 수정한다,이론+실습,휴텍씨DB/교재.csv,10
프롬프트 활용 교재(초등),,,전문가 2급,전문 영역 적용(문서/데이터/개발 등),전문,8장,미래형 프롬프트 설계 및 창의적 확장,고급 설계(시나리오/역할/멀티스텝)로 확장한다,이론+실습,휴텍씨DB/교재.csv,11
프롬프트 활용 교재(중등),문서,,전문가 1급,설계/감수/운영(가이드·표준화),전문,1,프롬프트 개요(목적/대상),목적과 대상을 분리해 프롬프트를 설계할 수 있다.,이론40/실습60,휴텍씨DB/교재.csv,12
프롬프트 활용 교재(중등),문서,윤리 교육,교육 1~2,개인정보/저작권 “하면 안 되는 것”,전문,2,구조화(역할/목적/조건/형식),역할·목적·조건·형식을 포함한 구조 프롬프트를 만들 수 있다.,이론30/실습70,휴텍씨DB/교재.csv,13
