구분,항목,내용,원본파일,원본행
전문가 매칭,전문가구분,전문가,수집된DB/대표DB.csv,42
전문가 매칭,매칭 방법,매칭 요청,수집된DB/대표DB.csv,42
전문가 매칭,매칭 상태,매칭 중,수집된DB/대표DB.csv,42
전문가 매칭,전문가 승인상태,전문가 거절,수집된DB/대표DB.csv,42
전문가 매칭,전문가 레벨 설정표,학벌,수집된DB/대표DB.csv,42
전문가 매칭,전문가영역,변호사,수집된DB/대표DB.csv,42
전문가 매칭,세부 전문가,민사법,수집된DB/대표DB.csv,42
전문가 매칭,우선전문가 업무순위,2,수집된DB/대표DB.csv,42
전문가 매칭,전문가 레벨설정,B,수집된DB/대표DB.csv,42
전문가 매칭,활동 가능 시간,평일 오후,수집된DB/대표DB.csv,42
전문가 매칭,작업 소요 시간,6시간 이내,수집된DB/대표DB.csv,42
전문가 매칭,작업 단위,시간당,수집된DB/대표DB.csv,42
전문가 매칭,서비스 가능 유형,전화(화상),수집된DB/대표DB.csv,42
전문가 매칭,서비스 유형별,에디터,수집된DB/대표DB.csv,42
전문가 매칭,단계설정,1-3단계,수집된DB/대표DB.csv,43
전문가 매칭,업무 난이도,상중하,수집된DB/대표DB.csv,43
전문가 매칭,전문가구분,일반,수집된DB/대표DB.csv,43
전문가 매칭,매칭 방법,직접 찾기,수집된DB/대표DB.csv,43
전문가 매칭,매칭 상태,요청,수집된DB/대표DB.csv,43
전문가 매칭,전문가 승인상태,전문가 요청,수집된DB/대표DB.csv,43
전문가 매칭,전문가 레벨 설정표,업무 경력,수집된DB/대표DB.csv,43
전문가 매칭,전문가영역,인사,수집된DB/대표DB.csv,43
전문가 매칭,세부 전문가,취업,수집된DB/대표DB.csv,43
전문가 매칭,우선전문가 업무순위,1,수집된DB/대표DB.csv,43
전문가 매칭,전문가 레벨설정,A,수집된DB/대표DB.csv,43
전문가 매칭,활동 가능 시간,평일 오전,수집된DB/대표DB.csv,43
전문가 매칭,작업 소요 시간,3시간 이내,수집된DB/대표DB.csv,43
전문가 매칭,작업 단위,글자수,수집된DB/대표DB.csv,43
전문가 매칭,서비스 가능 유형,대면,수집된DB/대표DB.csv,43
전문가 매칭,서비스 유형별,음성변환,수집된DB/대표DB.csv,43
전문가 매칭,전문가구분,특수전문가,수집된DB/대표DB.csv,44
전문가 매칭,매칭 방법,기타(기업),수집된DB/대표DB.csv,44
전문가 매칭,매칭 상태,서비스 완료,수집된DB/대표DB.csv,44
전문가 매칭,전문가 승인상태,전문가 승인 대기,수집된DB/대표DB.csv,44
전문가 매칭,전문가 레벨 설정표,해외근무여부,수집된DB/대표DB.csv,44
전문가 매칭,전문가영역,의사,수집된DB/대표DB.csv,44
전문가 매칭,세부 전문가,의료,수집된DB/대표DB.csv,44
전문가 매칭,우선전문가 업무순위,4,수집된DB/대표DB.csv,44
전문가 매칭,전문가 레벨설정,D,수집된DB/대표DB.csv,44
전문가 매칭,활동 가능 시간,평일 종일,수집된DB/대표DB.csv,44
전문가 매칭,작업 소요 시간,24시간 이내,수집된DB/대표DB.csv,44
전문가 매칭,작업 단위,갯수,수집된DB/대표DB.csv,44
전문가 매칭,서비스 가능 유형,파일제공,수집된DB/대표DB.csv,44
전문가 매칭,서비스 유형별,감수,수집된DB/대표DB.csv,44
전문가 매칭,전문가구분,고급전문가,수집된DB/대표DB.csv,45
전문가 매칭,매칭 방법,자동 매칭,수집된DB/대표DB.csv,45
전문가 매칭,매칭 상태,매칭 완료,수집된DB/대표DB.csv,45
전문가 매칭,전문가 승인상태,전문가 승인,수집된DB/대표DB.csv,45
전문가 매칭,전문가 레벨 설정표,분야,수집된DB/대표DB.csv,45
전문가 매칭,세부 전문가,형사법,수집된DB/대표DB.csv,45
전문가 매칭,우선전문가 업무순위,3,수집된DB/대표DB.csv,45
전문가 매칭,전문가 레벨설정,C,수집된DB/대표DB.csv,45
전문가 매칭,활동 가능 시간,주말,수집된DB/대표DB.csv,45
전문가 매칭,작업 소요 시간,12시간 이내,수집된DB/대표DB.csv,45
전문가 매칭,작업 단위,장당,수집된DB/대표DB.csv,45
전문가 매칭,서비스 가능 유형,채팅,수집된DB/대표DB.csv,45
